source,tag,se_target,mean_items,median_items,pct_items,corr,mae,n_bank_items
atlas,atlas3pl_own_resp,0.5,8.18,8.0,1.26,0.9046,0.0347,650
atlas,atlas3pl_own_resp,0.49,8.18,8.0,1.26,0.9046,0.0347,650
atlas,atlas3pl_own_resp,0.48,8.18,8.0,1.26,0.9046,0.0347,650
atlas,atlas3pl_own_resp,0.47,8.2,8.0,1.26,0.9052,0.0344,650
atlas,atlas3pl_own_resp,0.46,8.2,8.0,1.26,0.9052,0.0344,650
atlas,atlas3pl_own_resp,0.45,8.22,8.0,1.26,0.9055,0.0342,650
atlas,atlas3pl_own_resp,0.44,8.23,8.0,1.27,0.906,0.034,650
atlas,atlas3pl_own_resp,0.43,8.23,8.0,1.27,0.906,0.034,650
atlas,atlas3pl_own_resp,0.42,8.3,8.0,1.28,0.907,0.0337,650
atlas,atlas3pl_own_resp,0.41,8.37,8.0,1.29,0.9071,0.0337,650
atlas,atlas3pl_own_resp,0.4,8.37,8.0,1.29,0.9071,0.0337,650
atlas,atlas3pl_own_resp,0.39,8.47,8.0,1.3,0.9102,0.0331,650
atlas,atlas3pl_own_resp,0.38,8.47,8.0,1.3,0.9102,0.0331,650
atlas,atlas3pl_own_resp,0.37,8.52,8.0,1.31,0.9098,0.0331,650
atlas,atlas3pl_own_resp,0.36,8.7,8.0,1.34,0.9038,0.0337,650
atlas,atlas3pl_own_resp,0.35,8.73,8.0,1.34,0.9048,0.0336,650
atlas,atlas3pl_own_resp,0.34,8.9,8.0,1.37,0.904,0.0338,650
atlas,atlas3pl_own_resp,0.33,8.9,8.0,1.37,0.904,0.0338,650
atlas,atlas3pl_own_resp,0.32,8.97,8.0,1.38,0.9048,0.0335,650
atlas,atlas3pl_own_resp,0.31,9.03,8.0,1.39,0.9051,0.0336,650
atlas,atlas3pl_own_resp,0.3,9.15,8.0,1.41,0.9059,0.0336,650
atlas,atlas3pl_own_resp,0.29,9.53,8.0,1.47,0.9034,0.034,650
atlas,atlas3pl_own_resp,0.28,9.58,8.0,1.47,0.9024,0.0341,650
atlas,atlas3pl_own_resp,0.27,9.87,9.0,1.52,0.9024,0.034,650
atlas,atlas3pl_own_resp,0.26,10.1,9.0,1.55,0.9047,0.0337,650
atlas,atlas3pl_own_resp,0.25,10.37,10.0,1.59,0.905,0.0334,650
atlas,atlas3pl_own_resp,0.24,10.85,10.0,1.67,0.9062,0.0329,650
atlas,atlas3pl_own_resp,0.23,11.15,11.0,1.72,0.9087,0.0329,650
atlas,atlas3pl_own_resp,0.22,11.68,11.0,1.8,0.9106,0.0325,650
atlas,atlas3pl_own_resp,0.21,12.58,11.5,1.94,0.9144,0.0315,650
atlas,atlas3pl_own_resp,0.2,13.0,12.5,2.0,0.915,0.031,650
atlas,atlas3pl_own_resp,0.19,13.97,13.5,2.15,0.9155,0.0317,650
atlas,atlas3pl_own_resp,0.18,15.62,14.0,2.4,0.9159,0.0319,650
atlas,atlas3pl_own_resp,0.17,17.58,15.5,2.71,0.9144,0.0319,650
atlas,atlas3pl_own_resp,0.16,28.83,17.0,4.44,0.914,0.0324,650
atlas,atlas3pl_own_resp,0.15,32.23,19.0,4.96,0.9245,0.03,650
atlas,atlas3pl_own_resp,0.14,35.15,22.0,5.41,0.9266,0.0305,650
atlas,atlas3pl_own_resp,0.13,39.75,24.5,6.12,0.9288,0.0305,650
atlas,atlas3pl_own_resp,0.12,47.22,27.5,7.26,0.931,0.0303,650
local,local_arc_2pl,0.5,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.49,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.48,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.47,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.46,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.45,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.44,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.43,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.42,8.0,8.0,1.05,0.8615,0.0825,759
